  39.02
3511.00
  432343127
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	33523.20	11.56	339.68	0.00	-2.89	-16.96	81.01
1980 01 02 12	33523.20	5.66	269.03	0.00	-6.11	-20.18	146.58
1980 01 03 12	33523.20	10.72	347.49	0.00	-8.30	-22.37	110.01
1980 01 04 12	33523.20	0.00	317.75	0.00	-4.42	-18.49	166.34
1980 01 05 12	33661.03	0.75	387.11	0.00	-3.59	-17.66	126.80
1980 01 06 12	33868.80	2.42	295.84	0.00	-4.59	-18.66	139.32
1980 01 07 12	33868.80	15.71	275.46	0.00	-5.19	-19.26	145.47
1980 01 08 12	33868.80	3.67	245.43	0.00	-3.23	-17.30	176.16
1980 01 09 12	33868.80	8.02	225.66	0.00	0.85	-13.22	226.48
1980 01 10 12	33868.80	8.23	212.96	0.00	-5.73	-19.80	234.30
1980 01 11 12	34095.72	17.76	340.87	0.00	-7.76	-21.83	116.73
1980 01 12 12	34214.40	18.78	319.58	0.00	-2.00	-16.07	133.21
1980 01 13 12	34214.40	2.79	264.22	0.00	1.58	-12.49	242.55
1980 01 14 12	34214.40	2.59	275.62	0.00	3.46	-10.61	260.87
1980 01 15 12	34214.40	5.41	259.79	0.00	-1.52	-15.59	269.44
1980 01 16 12	34560.00	1.01	294.79	0.00	-6.24	-20.31	219.23
1980 01 17 12	34560.00	1.98	321.39	0.00	-3.96	-18.03	169.59
1980 01 18 12	34560.00	1.91	292.44	0.00	-3.28	-17.35	190.25
1980 01 19 12	34560.00	1.70	352.24	0.00	-2.93	-17.00	194.25
1980 01 20 12	34905.60	0.91	426.54	0.00	-2.31	-16.38	159.86
1980 01 21 12	34905.60	1.92	445.05	0.00	-6.12	-20.19	109.13
1980 01 22 12	34905.60	0.00	401.68	0.00	-7.53	-21.60	92.04
1980 01 23 12	35043.43	1.17	453.87	0.00	-6.16	-20.23	80.50
1980 01 24 12	35251.20	0.01	446.61	0.00	-0.70	-14.77	100.35
1980 01 25 12	35251.20	0.63	445.04	0.00	0.66	-13.41	125.42
1980 01 26 12	35251.20	3.30	355.40	0.00	0.03	-14.04	156.33
1980 01 27 12	35596.80	18.22	326.34	0.00	0.38	-13.69	197.35
1980 01 28 12	35596.80	4.90	332.28	0.00	1.61	-12.46	194.96
1980 01 29 12	35596.80	49.63	263.99	0.00	-1.91	-15.98	220.52
1980 01 30 12	35942.40	25.02	350.31	0.00	-6.84	-20.91	150.34
1980 01 31 12	35942.40	0.40	482.08	0.00	-6.00	-20.07	80.55
1980 02 01 12	35942.40	0.36	477.66	0.00	-5.93	-25.04	88.45
1980 02 02 12	36288.00	0.70	474.57	0.00	-3.34	-22.45	129.35
1980 02 03 12	36288.00	1.87	368.43	0.00	2.87	-16.24	223.06
1980 02 04 12	36288.00	0.61	463.62	0.00	0.36	-18.75	185.20
1980 02 05 12	36633.60	0.00	489.78	0.00	-1.30	-20.41	128.18
1980 02 06 12	36633.60	4.60	408.46	0.00	2.84	-16.27	155.72
1980 02 07 12	36860.52	1.79	360.97	0.00	-2.35	-21.46	198.76
1980 02 08 12	36979.20	0.15	399.53	0.00	-8.50	-27.61	100.43
1980 02 09 12	36979.20	0.00	506.08	0.00	-6.86	-25.97	68.22
1980 02 10 12	37324.80	0.00	509.76	0.00	-5.93	-25.04	73.49
1980 02 11 12	37324.80	0.01	514.32	0.00	-7.39	-26.50	82.88
1980 02 12 12	37346.79	0.91	516.01	0.00	-7.98	-27.09	93.92
1980 02 13 12	37670.40	2.96	407.92	0.00	-0.29	-19.40	156.46
1980 02 14 12	37670.40	22.48	339.99	0.00	0.96	-18.15	241.93
1980 02 15 12	38016.00	8.82	254.09	0.00	-0.04	-19.15	313.01
1980 02 16 12	38016.00	2.95	402.41	0.00	-2.01	-21.12	249.13
1980 02 17 12	38037.99	2.77	373.27	0.00	-0.13	-19.24	223.40
1980 02 18 12	38361.60	31.59	296.58	0.00	1.25	-17.86	275.05
1980 02 19 12	38361.60	35.43	335.02	0.00	-0.13	-19.24	274.75
